OTUID	570.T2	571.T2	572.T2	573.T2	574.T2	575.T2	576.T2	577.T2	578.T2	580.T2	581.T2	582.T2	583.T2	584.T2	585.T2	586.T2	588.T2	589.T2	590.T2	592.T2	593.T2	594.T2	595.T2	596.T2	597.T2	598.T2	599.T2	600.T2	601.T2	602.T2	603.T2
1bbef1070bedf0db507fb6c7b5c28fff	878	191	109	249	693	317	495	129	471	44	31	62	221	225	0	414	298	197	405	511	109	121	1271	405	291	869	136	1275	954	1140	753
54843b106b5061dc17ca8f371d357b44	0	189	156	237	617	320	384	142	494	66	45	85	251	261	0	392	296	254	361	396	85	72	857	349	275	609	117	1068	1139	996	632
ff3c4e848cb548750221af3deb5389dc	0	123	172	141	364	216	331	133	340	38	33	97	205	202	178	0	310	196	299	209	52	54	0	201	218	389	67	728	820	813	665
646c18c31a1f6154773b7b8e64b5c658	835	144	137	182	426	223	380	237	336	38	39	66	215	238	185	0	326	180	254	220	57	103	619	215	188	412	72	642	800	778	594
5171cbfbcd1781f0d7e7a7bdb94fb126	807	164	142	189	531	211	435	110	286	0	0	69	197	218	0	0	251	178	296	232	70	80	637	252	190	515	83	882	687	815	610
74803c74b50392f83753468b9235c931	0	136	167	206	465	237	366	180	299	54	37	61	191	204	0	0	276	198	320	224	57	72	523	251	184	439	84	801	746	858	636
2a2bbfefccc170850029ee0b903a7301	0	74	174	117	188	129	242	92	236	0	35	60	267	179	189	0	290	145	186	160	38	36	0	120	154	258	52	430	662	660	563
b90340baf132ddf80f4a342d544f1b03	0	112	112	131	305	172	291	99	248	0	41	64	212	183	0	0	269	133	236	213	61	61	501	188	167	351	76	641	713	751	530
e305ca72b43b91c7a701c947a71ef4b7	0	79	135	117	173	131	227	98	252	26	26	65	244	170	0	0	296	147	174	164	50	54	0	121	154	216	63	469	655	637	546
ad4f3211c1c7fd39e69c4a22600a9475	520	133	108	151	341	174	347	101	274	33	31	46	173	165	0	0	239	139	233	255	67	77	460	208	176	437	74	712	623	817	506
5a3a6d477b5fb489d2f7317edcd9b9cc	455	115	59	144	288	140	275	95	274	0	0	50	213	136	0	397	216	178	288	370	84	84	706	269	195	543	99	868	711	781	501
cf32fb1a1851ffab51de8b752990d321	0	109	53	116	215	106	79	306	110	170	0	0	58	85	0	0	95	56	77	128	82	241	291	105	103	113	347	265	98	463	450
0f54807ebcdb7fa491db917beeb3595e	0	40	53	118	194	112	80	0	119	54	0	0	69	50	0	0	104	67	79	86	34	182	274	79	73	98	0	222	113	442	440
3440e49bbd5cc4432ab49dd963d49bcd	0	60	50	102	171	101	77	0	88	108	0	0	57	143	0	0	100	157	79	80	70	266	276	137	164	69	100	192	152	251	217
cc3ff094f1c3297ae1c88cab123ca109	0	48	62	98	169	86	63	154	108	105	121	171	47	36	0	0	57	0	85	67	74	183	269	119	0	86	46	137	177	217	236
de99c650af737e28dff50e5c852ebb84	0	0	81	64	133	70	63	0	90	0	0	0	61	78	0	0	111	40	68	35	0	112	170	39	63	79	0	132	100	272	415
280f71fdbdabf1d2c4fd57cb3e93ed43	0	77	57	76	97	87	57	0	63	65	0	0	45	0	0	0	0	73	70	0	0	103	0	60	29	59	0	108	142	181	250
37835e4fbbd6bb6b2f6dbbbad70f9372	0	0	53	93	171	65	59	0	115	0	101	0	39	0	0	0	60	152	0	90	87	120	107	45	138	114	183	178	88	199	179
439e4f84c2a2e0c0f39e67ceabe0632a	0	0	34	92	243	117	97	0	128	0	0	0	36	0	0	0	73	0	87	90	101	237	180	70	114	92	152	130	104	151	176
7a82038a2a87643382fdc201dacb1009	0	93	0	90	133	131	172	38	0	187	0	41	35	0	288	0	68	0	75	58	112	47	0	0	186	108	227	84	99	127	70
97855d38c5ce75bc28db3201640ab0b2	256	50	47	82	141	109	98	44	0	140	0	128	80	68	126	0	80	0	86	90	80	55	170	103	42	120	0	133	219	158	101
88b905e812e0d73b7a740796f1969218	0	0	0	186	190	92	101	0	88	138	0	0	0	0	0	0	0	0	0	117	93	103	144	206	0	78	219	121	98	201	174
4c7ad9177b8f808b98713da6557b7bf1	0	299	0	257	154	0	0	0	236	0	0	83	0	0	0	0	0	0	0	204	41	89	0	0	0	105	0	255	0	88	97
4a9c16d3ce654f02a454cdea74b597bb	0	0	48	74	228	77	87	0	81	0	0	0	53	155	0	0	63	0	34	54	0	158	151	86	40	47	0	93	131	157	122
be43da52e9710f5f0179d39616a0cd02	0	122	45	112	126	155	37	20	184	0	0	0	0	0	0	0	0	127	0	97	75	71	0	158	0	257	234	105	58	153	147
b9c08a80084a5817a32ad811704367c4	0	0	31	110	182	70	110	0	149	117	0	0	0	60	0	0	201	0	0	0	218	172	0	201	0	158	0	312	177	99	100
af445601ff19932662af5c837b079065	0	0	60	71	146	72	69	0	79	0	0	90	0	91	0	0	41	0	54	68	0	74	0	44	87	70	0	127	153	189	169
e5180ec90317980d3120ca519bda5e5e	0	152	64	0	97	153	61	0	0	98	0	0	0	0	0	0	0	0	0	242	0	0	0	0	233	96	0	253	203	118	95
9262057290033adeed0ee63ad7d0870c	0	0	51	40	100	47	57	0	76	0	0	0	39	0	0	0	48	52	0	0	21	65	0	24	0	76	39	92	101	136	191
5316280028c25084443f731768aa5707	0	0	0	77	135	59	153	37	0	0	0	50	105	60	0	0	95	115	89	52	37	81	0	60	0	72	0	72	146	144	64
030b340f702523604f24be192ae18439	0	0	0	75	136	59	60	0	97	0	0	0	59	0	0	0	41	0	29	101	0	96	0	118	0	89	0	95	79	130	132
ae6f858a33e49815fcd83690ada389c8	0	0	0	0	0	0	70	0	0	414	0	0	0	0	0	0	0	0	0	401	0	142	420	0	0	0	0	132	0	110	98
dd9638b9f5a15e2a9d6394ad04444d21	0	0	0	0	127	55	70	0	74	52	0	0	0	133	0	0	245	0	140	74	61	70	154	0	0	47	0	83	116	163	179
e3e20348b3527232a0c237f9d7811f3c	0	98	31	63	99	83	121	34	139	0	0	0	95	50	113	140	61	98	76	59	0	60	0	33	0	75	0	153	237	161	107
6822dc1497ea5724bc61e02b3cf0511f	0	0	0	0	87	47	242	0	195	48	0	0	56	0	0	178	50	0	39	0	39	77	207	39	82	0	0	131	0	320	247
2e644a61d0aedb0afba39a04177de7f4	0	0	66	66	169	93	72	0	0	0	0	124	0	0	0	0	62	179	0	66	0	82	121	27	34	72	0	71	107	115	118
0cc8dadc34650e1d79815b5f3fab5efe	0	0	0	0	0	0	187	173	89	242	0	0	0	0	0	0	145	0	0	202	0	124	139	174	243	53	0	71	0	92	108
35782ee448589c93a59ce4719dafc0f2	0	0	0	0	183	105	0	0	0	89	0	135	0	0	0	0	87	324	142	92	0	0	0	0	0	0	172	150	171	81	167
